Title,age,height,body_type,region_origin,sphere_of_employment,app_source,chat_channel,met,days_to_meet,sex_quality,emotional_comfort,chemistry,communication_style_match,relationship_outcome,activity
14154,29,180-190,mediocre,MiddleEast,finance / banking / consulting,tinder,snapchat,1,7-15,0.0,3.0,3.0,3.0,1,not active
3820,46,170-180,average,EasternEurope,finance / banking / consulting,tinder,tinder,1,7-15,1.0,4.0,3.0,4.0,1,active
1695,40,200-210,athletic,Africa,public sector / government,Bumble,instagram dm,1,7-15,3.0,1.0,4.0,1.0,1,active
14946,35,170-180,average,WesternEurope,sales / marketing,tinder,whatsapp,1,1-7,1.0,2.0,4.0,2.0,1,active
2354,42,160-170,average,Asia,sales / marketing,Bumble,instagram dm,1,7-15,1.0,2.0,3.0,2.0,1,active
1280,23,180-190,muscular,EasternEurope,it / tech,grindr,snapchat,0,,,,,,0,not active
9328,30,170-180,mediocre,Asia,arts / media / design,grindr,instagram dm,0,,,,,,0,not active
18,47,190-200,athletic,NorthAmerica,sales / marketing,tinder,whatsapp,1,7-15,4.0,3.0,3.0,3.0,0,not active
8767,47,160-170,muscular,EasternEurope,other,instagram,whatsapp,0,,,,,,0,not active
11215,47,200-210,muscular,WesternEurope,other,tinder,instagram dm,0,,,,,,0,not active
14614,35,200-210,average,Africa,arts / media / design,tinder,snapchat,1,7-15,5.0,5.0,1.0,5.0,2,active
5543,32,160-170,athletic,CentralEurope,finance / banking / consulting,tinder,snapchat,0,,,,,,0,not active
185,40,170-180,muscular,Africa,engineering / manufacturing,tinder,snapchat,1,1-7,2.0,3.0,3.0,1.0,1,active
10695,35,200-210,muscular,Africa,public sector / government,tinder,tinder,1,7-15,0.0,2.0,1.0,2.0,0,not active
4010,19,180-190,average,WesternEurope,engineering / manufacturing,instagram,snapchat,1,7-15,0.0,5.0,3.0,5.0,1,active
11774,30,200-210,average,Africa,it / tech,Hinge,instagram dm,1,15-30,3.0,4.0,4.0,5.0,0,not active
9641,27,190-200,athletic,EasternEurope,finance / banking / consulting,tinder,telegram,1,1-7,4.0,4.0,4.0,4.0,2,active
13881,21,180-190,mediocre,NorthAmerica,education / academia,Hinge,instagram dm,1,15-30,2.0,3.0,4.0,3.0,2,active
4885,29,180-190,average,SouthAmerica,sales / marketing,tinder,instagram dm,1,30-90,4.0,2.0,3.0,2.0,2,active
8930,20,160-170,athletic,EasternEurope,finance / banking / consulting,tinder,whatsapp,1,15-30,4.0,2.0,5.0,2.0,1,active
12071,46,180-190,athletic,SouthEurope,arts / media / design,tinder,snapchat,1,7-15,5.0,4.0,1.0,4.0,2,active
13669,19,200-210,average,SouthEurope,healthcare / medicine,tinder,snapchat,1,7-15,5.0,5.0,1.0,5.0,2,active
9834,41,200-210,athletic,SouthEurope,engineering / manufacturing,grindr,instagram dm,1,1-7,3.0,3.0,1.0,3.0,1,not active
2005,34,200-210,athletic,NorthAmerica,engineering / manufacturing,grindr,whatsapp,0,,,,,,0,not active
14827,50,180-190,average,Africa,healthcare / medicine,Bumble,snapchat,1,7-15,0.0,3.0,3.0,3.0,1,active
2876,23,160-170,mediocre,MiddleEast,public sector / government,grindr,snapchat,1,1-7,3.0,2.0,3.0,2.0,1,active
368,43,170-180,slim,SouthEurope,finance / banking / consulting,tinder,whatsapp,1,7-15,3.0,4.0,5.0,4.0,1,active
1704,46,200-210,athletic,WesternEurope,service / hospitality,tinder,instagram dm,0,,,,,,0,not active
2743,18,190-200,average,SouthAmerica,self-employed,Hinge,whatsapp,1,30-90,2.0,2.0,4.0,2.0,1,active
5754,42,200-210,athletic,NorthAmerica,public sector / government,grindr,snapchat,1,7-15,2.0,5.0,3.0,5.0,1,active
7974,51,190-200,athletic,MiddleEast,sales / marketing,tinder,snapchat,1,7-15,2.0,2.0,1.0,2.0,0,not active
752,38,190-200,athletic,NorthAmerica,finance / banking / consulting,Hinge,snapchat,1,15-30,3.0,5.0,4.0,5.0,1,active
11796,24,180-190,average,SouthEurope,healthcare / medicine,Bumble,instagram dm,1,15-30,2.0,3.0,4.0,3.0,1,active
6005,37,180-190,mediocre,Asia,service / hospitality,grindr,other,1,7-15,1.0,3.0,3.0,3.0,2,active
6538,21,180-190,athletic,NorthAmerica,finance / banking / consulting,Hinge,instagram dm,0,,,,,,0,not active
10733,23,160-170,athletic,SouthEurope,finance / banking / consulting,Hinge,snapchat,0,,,,,,0,not active
7337,40,170-180,mediocre,MiddleEast,arts / media / design,grindr,instagram dm,1,30-90,4.0,3.0,4.0,3.0,1,active
3054,37,170-180,athletic,EasternEurope,it / tech,tinder,instagram dm,1,15-30,4.0,1.0,3.0,1.0,1,not active
4328,36,190-200,muscular,CentralEurope,healthcare / medicine,Hinge,snapchat,1,7-15,4.0,3.0,4.0,3.0,1,active
874,26,200-210,muscular,WesternEurope,sales / marketing,tinder,whatsapp,1,15-30,3.0,3.0,3.0,3.0,0,not active
14508,46,190-200,average,CentralEurope,engineering / manufacturing,tinder,snapchat,0,,,,,,1,active
2468,49,180-190,mediocre,SouthEurope,healthcare / medicine,Bumble,instagram dm,0,,,,,,0,not active
704,51,180-190,overweight,CentralEurope,arts / media / design,grindr,whatsapp,0,,,,,,0,not active
11906,43,160-170,athletic,CentralEurope,it / tech,tinder,tinder,1,1-7,0.0,1.0,1.0,1.0,0,not active
732,36,170-180,slim,SouthEurope,it / tech,instagram,snapchat,0,,,,,,0,not active
4137,30,190-200,athletic,NorthAmerica,sales / marketing,tinder,snapchat,1,15-30,5.0,3.0,2.0,3.0,0,not active
3722,36,160-170,athletic,NorthAmerica,engineering / manufacturing,tinder,whatsapp,0,,,,,,0,not active
5902,41,200-210,athletic,Africa,finance / banking / consulting,Hinge,instagram dm,1,1-7,1.0,3.0,1.0,3.0,1,not active
8449,51,200-210,muscular,Africa,service / hospitality,instagram,snapchat,0,,,,,,0,not active
11571,29,170-180,athletic,MiddleEast,finance / banking / consulting,tinder,snapchat,1,7-15,3.0,5.0,2.0,5.0,1,active
7636,43,180-190,mediocre,SouthEurope,self-employed,instagram,whatsapp,1,7-15,0.0,5.0,1.0,5.0,1,active
6620,50,180-190,average,CentralEurope,public sector / government,Hinge,instagram dm,1,7-15,3.0,4.0,1.0,4.0,1,active
9600,31,200-210,athletic,Africa,finance / banking / consulting,Hinge,snapchat,1,15-30,4.0,4.0,4.0,4.0,2,active
7213,28,200-210,athletic,NorthAmerica,it / tech,grindr,snapchat,1,7-15,1.0,4.0,2.0,4.0,2,active
6225,19,200-210,athletic,NorthAmerica,public sector / government,Hinge,instagram dm,1,7-15,4.0,5.0,1.0,5.0,1,active
13795,47,180-190,athletic,Africa,sales / marketing,grindr,instagram dm,1,7-15,1.0,4.0,3.0,4.0,1,active
7087,50,190-200,athletic,Africa,service / hospitality,other,instagram dm,0,,,,,,0,not active
8374,46,170-180,average,WesternEurope,education / academia,tinder,snapchat,0,,,,,,0,not active
7411,46,170-180,mediocre,Africa,other,tinder,instagram dm,0,,,,,,0,not active
1212,45,170-180,average,EasternEurope,healthcare / medicine,tinder,snapchat,1,15-30,2.0,2.0,1.0,3.0,2,active
815,45,180-190,athletic,WesternEurope,engineering / manufacturing,tinder,whatsapp,1,7-15,1.0,5.0,2.0,5.0,0,not active
7037,49,170-180,average,NorthAmerica,public sector / government,instagram,snapchat,0,,,,,,0,not active
2376,36,180-190,athletic,SouthEurope,self-employed,tinder,telegram,0,,,,,,0,not active
9468,51,200-210,average,Africa,sales / marketing,tinder,snapchat,0,,,,,,0,not active
5853,39,180-190,mediocre,MiddleEast,engineering / manufacturing,Hinge,snapchat,1,7-15,2.0,4.0,3.0,4.0,1,active
12849,47,170-180,muscular,Africa,public sector / government,grindr,grindr,0,,,,,,0,not active
13754,46,170-180,slim,CentralEurope,healthcare / medicine,tinder,snapchat,1,30-90,3.0,4.0,2.0,4.0,2,active
13089,30,180-190,athletic,NorthAmerica,public sector / government,Bumble,whatsapp,1,15-30,2.0,3.0,2.0,3.0,1,active
2555,18,180-190,average,Africa,public sector / government,tinder,snapchat,0,,,,,,0,not active
8661,20,170-180,slim,SouthEurope,arts / media / design,tinder,instagram dm,1,1-7,3.0,4.0,3.0,4.0,2,active
7287,26,170-180,mediocre,SouthEurope,service / hospitality,tinder,snapchat,1,1-7,2.0,5.0,3.0,5.0,1,active
13609,28,180-190,mediocre,EasternEurope,self-employed,Hinge,telegram,1,7-15,4.0,3.0,4.0,3.0,2,active
12455,29,160-170,overweight,MiddleEast,public sector / government,tinder,snapchat,1,1-7,2.0,3.0,4.0,3.0,1,active
1510,46,160-170,athletic,Asia,public sector / government,tinder,whatsapp,1,7-15,2.0,5.0,2.0,5.0,1,active
6721,29,190-200,athletic,Africa,engineering / manufacturing,Bumble,whatsapp,1,1-7,2.0,3.0,2.0,5.0,1,active
3892,41,180-190,athletic,SouthEurope,education / academia,Hinge,whatsapp,1,15-30,4.0,5.0,5.0,5.0,2,active
